_id;corrects_number;wrongs_number;user_id;device_id;stage;base;game_type;game;stars;t_start;t_stop;experience_earned;__v
5b55ff29582e8f0c178c2b2e;10;3;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;mathisis;1;1.5;1532362490011.0;1532362536183.0;75.0;0
5b55ff98582e8f0c178c2b57;13;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;mathisis;2;3.0;1532362620753.0;1532362647232.0;322.0;0
5b560424582e8f0c178c2b7b;13;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;mathisis;4;3.0;1532363775180.0;1532363811722.0;303.0;0
5b5604a6582e8f0c178c2bac;24;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;memoria;2;3.0;1532363885094.0;1532363940857.0;457.0;0
5b560530582e8f0c178c2bdc;24;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;memoria;4;3.0;1532364019745.0;1532364079163.0;456.0;0
5b56059a582e8f0c178c2bee;6;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;focus;2;3.0;1532364160421.0;1532364184732.0;350.0;0
5b5605d1582e8f0c178c2c01;6;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;focus;4;3.0;1532364222131.0;1532364240452.0;352.0;0
5b560621582e8f0c178c2c2b;15;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;reacton;2;3.0;1532364288362.0;1532364320337.0;280.0;0
5b560677582e8f0c178c2c52;15;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;1;reacton;4;3.0;1532364368563.0;1532364406044.0;280.0;0
5b58670e2b05712f498171dc;30;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;memoria;1;3.0;1532520149379.0;1532520205574.0;453.0;0
5b5867992b05712f4981721f;36;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;memoria;3;3.0;1532520285064.0;1532520344226.0;447.0;0
5b58681f2b05712f49817242;7;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;speedy;1;3.0;1532520455551.0;1532520478186.0;262.0;0
5b5868632b05712f4981726f;7;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;speedy;3;3.0;1532520521117.0;1532520547159.0;262.0;0
5b5868ea2b05712f498172a6;8;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;focus;2;3.0;1532520654018.0;1532520681204.0;348.0;0
5b58695e2b05712f498172d0;8;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;focus;3;3.0;1532520771993.0;1532520797758.0;347.0;0
5b58697a2b05712f498172db;8;0;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;focus;4;3.0;1532520804233.0;1532520826026.0;350.0;0
5b5869fb2b05712f498172ff;1;18;5b55fee9582e8f0c178c2b1a;eba3c49d-d47b-4f6f-8d16-cdea24e94272;blue;2;reacton;4;0.0;1532520896292.0;1532520954072.0;0.0;0
